date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:30:51	116/116	---MCZ	200	added ('OK')	text/plain	date:Wed,%2002%20Apr%202025%2014:30:52%20GMT	https://qwerio.net/robots.txt		(from )
11:30:51	70558/70558	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Apr%202025%2014:30:52%20GMT	https://qwerio.net/	C:/Meus%20Sites/IMEX/IMEX/qwerio.net/index.html	(from )
11:30:51	64/64	---M-Z	200	added ('OK')	text/css	date:Thu,%2016%20Jan%202025%2016:23:08%20GMT	https://qwerio.net/wp-content/themes/qwerio-24/style.css?ver=1.0.0.1737044588	C:/Meus%20Sites/IMEX/IMEX/qwerio.net/wp-content/themes/qwerio-24/styled29a.css	(from https://qwerio.net/)
11:30:52	70304/70304	---M-Z	200	added ('OK')	text/css	date:Mon,%2027%20Jan%202025%2013:38:35%20GMT	https://qwerio.net/wp-content/themes/qwerio-24/dist/appCSS.css?ver=1.0.0.1737985115	C:/Meus%20Sites/IMEX/IMEX/qwerio.net/wp-content/themes/qwerio-24/dist/appCSS6e08.css	(from https://qwerio.net/)
11:30:52	69867/69867	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Apr%202025%2014:30:54%20GMT	https://qwerio.net/en/	C:/Meus%20Sites/IMEX/IMEX/qwerio.net/en/index.html	(from https://qwerio.net/)
11:30:53	652/652	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Dec%202024%2011:33:13%20GMT	https://qwerio.net/wp-content/uploads/2024/10/cropped-favicon-32x32.png	C:/Meus%20Sites/IMEX/IMEX/qwerio.net/wp-content/uploads/2024/10/cropped-favicon-32x32.png	(from https://qwerio.net/)
11:30:53	5194/5194	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Dec%202024%2011:33:13%20GMT	https://qwerio.net/wp-content/uploads/2024/10/cropped-favicon-192x192.png	C:/Meus%20Sites/IMEX/IMEX/qwerio.net/wp-content/uploads/2024/10/cropped-favicon-192x192.png	(from https://qwerio.net/)
11:30:53	4752/4752	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Dec%202024%2011:33:14%20GMT	https://qwerio.net/wp-content/uploads/2024/10/cropped-favicon-180x180.png	C:/Meus%20Sites/IMEX/IMEX/qwerio.net/wp-content/uploads/2024/10/cropped-favicon-180x180.png	(from https://qwerio.net/)
11:30:54	2598/2598	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2002%20Apr%202025%2014:30:55%20GMT	https://plausible.io/js/script.js	C:/Meus%20Sites/IMEX/IMEX/plausible.io/js/script.js	(from https://qwerio.net/)
11:30:54	1552/1552	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2016%20Jan%202025%2016:23:10%20GMT	https://qwerio.net/wp-content/themes/qwerio-24/assets/images/q.svg	C:/Meus%20Sites/IMEX/IMEX/qwerio.net/wp-content/themes/qwerio-24/assets/images/q.svg	(from https://qwerio.net/)
